time,admission,base_subjects,advanced_subjects,online_reason,algebra,geometry,russian,literature,history,foreign,physics,chemystry,geography,social,biology,informatics,town,region,state,olymp_other,other
28.03.2018 0:16:56,Информационными технологиями,"Физика, Химия, Биология","Алгебра, Иностранный язык, Информатика",Недостаточное качество или объем образовательной программы,Четверки/пятерки (в основном),Четверки/пятерки (в основном),Четверки/пятерки (в основном),Почти или только одни пятерки,Почти или только одни пятерки,Почти или только одни пятерки,Почти или только одни пятерки,Почти или только одни пятерки,Почти или только одни пятерки,Почти или только одни пятерки,Почти или только одни пятерки,Почти или только одни пятерки,"Математике, Русский языку, Иностранный языку, Информатике, Обществознанию","Математике, Информатике, Обществознанию",Нигде,"Математике, Обществознанию",Нигде
28.03.2018 0:27:16,Информационными технологиями,"Физика, История","Иностранный язык, Информатика",Не люблю рано вставать,Тройки/четверки (в основном),Тройки/четверки (в основном),Почти или только одни пятерки,Почти или только одни пятерки,Четверки/пятерки (в основном),Почти или только одни пятерки,Тройки,Тройки/четверки (в основном),Четверки/пятерки (в основном),Четверки/пятерки (в основном),Четверки/пятерки (в основном),Почти или только одни пятерки,нон ру,нон ру,нон ру,Информатике,"Волонтерском движении, Общественных мероприятиях"
28.03.2018 0:28:26,Инженерией,"Литература, Биология, География, Иностранный язык, Информатика, Обществознание, История","Алгебра, Геометрия, Физика, Химия, Иностранный язык",Хотел бы получить больше свободного времени,Почти или только одни пятерки,Почти или только одни пятерки,Четверки/пятерки (в основном),Четверки/пятерки (в основном),Тройки/четверки (в основном),Почти или только одни пятерки,Почти или только одни пятерки,Почти или только одни пятерки,Четверки/пятерки (в основном),Четверки/пятерки (в основном),Четверки/пятерки (в основном),Четверки/пятерки (в основном),Физике,"Математике, Физике, Иностранный языку",Нигде,Нигде,"Спортивных мероприятиях, Общественных мероприятиях"
28.03.2018 0:29:54,Информационными технологиями,"Биология, География, Обществознание, История","Иностранный язык, Информатика",Не люблю рано вставать,Почти или только одни пятерки,Почти или только одни пятерки,Почти или только одни пятерки,Почти или только одни пятерки,Почти или только одни пятерки,Почти или только одни пятерки,Почти или только одни пятерки,Почти или только одни пятерки,Почти или только одни пятерки,Почти или только одни пятерки,Почти или только одни пятерки,Почти или только одни пятерки,"Математике, Русский языку, Физике, Химии, Иностранный языку, Информатике","Математике, Иностранный языку",Нигде,Математике,"Спортивных мероприятиях, Общественных мероприятиях"
28.03.2018 0:30:29,"Гуманитарными науками (филология, журналистика, культурология и т.д.)",Ничего не стал бы,Ничего не стал бы,Никогда не стал бы учиться онлайн,Четверки/пятерки (в основном),Четверки/пятерки (в основном),Почти или только одни пятерки,Почти или только одни пятерки,Четверки/пятерки (в основном),Почти или только одни пятерки,Четверки/пятерки (в основном),Тройки/четверки (в основном),Четверки/пятерки (в основном),Четверки/пятерки (в основном),Четверки/пятерки (в основном),Почти или только одни пятерки,Иностранный языку,Иностранный языку,Нигде,Нигде,"Волонтерском движении, Спортивных мероприятиях, Общественных мероприятиях"
28.03.2018 0:33:11,Педагогикой,"Физика, Химия, География",Ничего не стал бы,Хотел бы получить больше свободного времени,Тройки/четверки (в основном),Тройки/четверки (в основном),Четверки/пятерки (в основном),Почти или только одни пятерки,Тройки/четверки (в основном),Четверки/пятерки (в основном),Тройки,Тройки/четверки (в основном),Тройки/четверки (в основном),Четверки/пятерки (в основном),Четверки/пятерки (в основном),Четверки/пятерки (в основном),Нигде,Нигде,Нигде,Нигде,Общественных мероприятиях
28.03.2018 0:35:30,Инженерией,Ничего не стал бы,Ничего не стал бы,Никогда не стал бы учиться онлайн,Четверки/пятерки (в основном),Почти или только одни пятерки,Четверки/пятерки (в основном),Почти или только одни пятерки,Почти или только одни пятерки,Четверки/пятерки (в основном),Четверки/пятерки (в основном),Почти или только одни пятерки,Почти или только одни пятерки,Почти или только одни пятерки,Четверки/пятерки (в основном),Четверки/пятерки (в основном),Нигде,Нигде,"Математике, Русский языку, Литературе",Нигде,Общественных мероприятиях
28.03.2018 0:36:45,"Гуманитарными науками (филология, журналистика, культурология и т.д.), Информационными технологиями","Русский язык, География, Иностранный язык, Информатика, Обществознание","Геометрия, Русский язык, Литература, Иностранный язык, Информатика, Обществознание",Хотел бы получить больше свободного времени,Тройки/четверки (в основном),Четверки/пятерки (в основном),Почти или только одни пятерки,Почти или только одни пятерки,Тройки/четверки (в основном),Тройки/четверки (в основном),Тройки,Тройки,Тройки/четверки (в основном),Четверки/пятерки (в основном),Тройки/четверки (в основном),Почти или только одни пятерки,"Русский языку, Литературе, Иностранный языку, Информатике, Обществознанию, Истории","Литературе, Обществознанию",Нигде,Нигде,"Волонтерском движении, Общественных мероприятиях"
28.03.2018 0:36:57,"Инженерией, Естественными науками (физика, химия и т. д.)","Физика, География, Обществознание, История, Бух учет, будь он неладен ><","Алгебра, Химия, Биология, Иностранный язык",Недостаточный профессионализм учителей,Тройки/четверки (в основном),Тройки/четверки (в основном),Четверки/пятерки (в основном),Почти или только одни пятерки,Четверки/пятерки (в основном),Почти или только одни пятерки,Четверки/пятерки (в основном),Почти или только одни пятерки,Почти или только одни пятерки,Четверки/пятерки (в основном),Почти или только одни пятерки,Тройки/четверки (в основном),Нигде,Нигде,Нигде,Нигде,Нигде
28.03.2018 0:37:54,"Гуманитарными науками (филология, журналистика, культурология и т.д.)","Алгебра, Физика, Химия","Русский язык, Литература, Иностранный язык",Не люблю рано вставать,Тройки/четверки (в основном),Тройки/четверки (в основном),Четверки/пятерки (в основном),Четверки/пятерки (в основном),Четверки/пятерки (в основном),Почти или только одни пятерки,Тройки/четверки (в основном),Тройки/двойки,Четверки/пятерки (в основном),Четверки/пятерки (в основном),Тройки/четверки (в основном),Четверки/пятерки (в основном),Нигде,Нигде,Нигде,Нигде,Спортивных мероприятиях
